,video_id,category,duration,made_for_kids
1020,jsZb5rRAWkY,People & Blogs,0:00:57,False
1021,oyDUzcu9Tqo,Entertainment,0:00:37,False
1022,yzxciFwZdTo,Comedy,0:00:35,False
1023,E0q6Bv9Uu9Y,Entertainment,0:00:36,False
1024,3G9MH063Cx4,People & Blogs,0:00:53,False
1025,h1COep9CyYQ,Pets & Animals,0:00:24,False
1026,UbfxnxpcC4s,Entertainment,0:00:56,False
1027,1g-N29DwiaA,Gaming,3:18:20,False
1028,MfmW9gYclJ8,Gaming,4:54:15,False
1029,v8_72ciDOhc,Gaming,4:54:30,False
1030,fKtJR43G-Oc,People & Blogs,0:00:45,False
1031,NdJpJ8pILo4,People & Blogs,0:00:59,False
1032,2Jy0H4u41N0,Entertainment,0:00:45,False
1033,Vv8RN_mKyi4,Science & Technology,0:00:56,False
1034,A_xhx1cBCOk,Pets & Animals,0:00:41,False
1035,QIIfc4n1gGo,Entertainment,0:00:59,False
1036,LuwPISz6Vc4,Entertainment,0:00:58,False
1037,NXE32pxvC38,Gaming,4:16:15,False
1038,j8ZvFO-SPco,People & Blogs,0:00:57,False
1039,W2Vu0J6Ju2A,People & Blogs,0:01:01,False
1040,CX2RBukQV3w,People & Blogs,0:00:22,False
1041,-D_1yby4a_0,Entertainment,0:00:32,False
1042,709T4qTG0b4,Entertainment,0:00:14,False
1043,oJ97nirPd-U,People & Blogs,0:00:59,False
1044,75hdceJ0beE,Gaming,4:10:25,False
1045,dxvsABQ1KCw,Entertainment,0:34:57,False
1046,wuo7Lfs1YIA,Entertainment,0:00:36,False
1047,ImVwrpLI73Q,Entertainment,0:31:05,False
1048,QtN1l65qcFE,People & Blogs,0:00:32,False
1049,-xhGMKj-leE,Film & Animation,0:00:57,False
1050,QA_0EiKegXA,People & Blogs,0:01:01,False
1051,isKL1YgtmzI,People & Blogs,0:00:48,False
1052,yZHpPweOos0,Entertainment,0:00:19,False
1053,ISRRQS0KG4U,People & Blogs,0:00:24,False
1054,vUtZdx-rqt0,Gaming,6:19:10,False
1055,SSKlK0JKETw,People & Blogs,0:00:32,False
1056,yxEtkaRD2BU,Gaming,5:03:06,False
1057,suiJW4d9d7Y,People & Blogs,0:00:41,False
1058,gA_s6ibM0mw,News & Politics,1:39:00,False
1059,VyuON5fgTb4,Gaming,8:08:56,False
1060,b1WiZwL4et8,People & Blogs,0:00:34,False
1061,AJZIwDbJxPA,Entertainment,0:09:41,False
1062,lT1GLYfd-NM,People & Blogs,0:00:45,False
1063,2OBfW-4LxEE,Entertainment,0:00:40,False
1064,zf7b0-ZeYq8,News & Politics,0:00:43,False
1065,Uk2eJJe-Jhg,People & Blogs,0:00:25,False
1066,snUyLbGx6U4,People & Blogs,0:00:51,False
1067,1_y6LFeiWDQ,Entertainment,0:00:16,False
1068,r-WigCjCd0Q,Entertainment,0:01:01,False
1069,P_6kFtqKPyE,Pets & Animals,0:00:32,False
1070,PQPjIvmj7p8,People & Blogs,0:00:31,False
1071,GrilhN521iw,People & Blogs,0:00:21,False
1072,eaFOHZ_lwIo,Entertainment,0:00:50,False
1073,Ug7Ie2QVAak,Sports,0:15:46,False
1074,Gnj1J81k8iw,Autos & Vehicles,0:00:19,False
1075,Xqh5sGEs8g8,Entertainment,0:00:57,False
1076,91M8kqeFn90,Entertainment,2:24:58,False
1077,8RE_-8F2Q-s,Entertainment,0:01:01,False
1078,tfCNjGLqBKQ,Film & Animation,0:00:28,False
1079,SF1Q2yEZrqc,Entertainment,0:00:12,False
1080,Rn2B3n8NCIk,People & Blogs,0:00:33,False
1081,Cgu3zN4NaDM,People & Blogs,0:00:48,False
1082,3xvGzbeRe1A,Howto & Style,0:00:10,False
1083,gKZdG-Rf7YA,People & Blogs,0:00:12,False
1084,nwVJdcZEERY,Entertainment,0:00:56,False
1085,krzCJm_F9bs,Entertainment,0:00:56,False
1086,kLbBp_WxoCQ,Entertainment,0:01:00,False
1087,gXxg-VWJXBY,Pets & Animals,0:00:45,False
1088,yH1U2ps_v6w,People & Blogs,0:00:38,False
